timestamp,country,gender,performance_metric,job_type,request_category
2025-04-10 18:27:29,United States,Female,scheduled_demo,,scheduled_demo
2025-02-18 11:54:21,Nigeria,Male,ai_request,,ai_request
2025-02-10 02:45:54,South Africa,Male,scheduled_demo,,scheduled_demo
2025-04-20 16:25:25,United States,Male,job_request,Engineer,job_request
2025-03-06 09:21:02,Nigeria,Male,ai_request,,ai_request
2025-03-03 11:07:30,South Africa,Female,ai_request,,ai_request
2025-03-01 08:36:16,Canada,Female,ai_request,,ai_request
2025-02-21 05:37:57,Germany,Female,scheduled_demo,,scheduled_demo
2025-04-20 04:35:17,India,Male,job_placement,Designer,job_placement
2025-02-17 15:19:00,Brazil,Male,job_placement,Sales Rep,job_placement
2025-04-14 09:18:35,China,Female,scheduled_demo,,scheduled_demo
2025-04-20 14:22:00,United States,Female,job_placement,Manager,job_placement
2025-05-05 07:24:53,Australia,Male,scheduled_demo,,scheduled_demo
2025-04-01 15:16:55,South Africa,Female,job_placement,Manager,job_placement
2025-02-16 03:04:04,Brazil,Male,ai_request,,ai_request
2025-04-06 00:25:59,India,Male,ai_request,,ai_request
2025-03-20 15:38:05,Brazil,Female,ai_request,,ai_request
2025-02-10 18:32:41,Canada,Female,job_placement,Designer,job_placement
2025-02-10 13:55:06,China,Male,job_placement,Data Analyst,job_placement
2025-02-16 18:48:41,France,Male,scheduled_demo,,scheduled_demo
2025-02-28 21:56:57,Germany,Female,ai_request,,ai_request
2025-03-02 06:37:30,India,Male,job_request,Data Analyst,job_request
2025-03-28 18:02:56,Nigeria,Male,scheduled_demo,,scheduled_demo
2025-04-07 03:17:28,Australia,Female,job_placement,Engineer,job_placement
2025-02-10 06:19:08,France,Female,ai_request,,ai_request
2025-04-03 04:16:53,South Africa,Female,ai_request,,ai_request
2025-02-26 23:48:40,South Africa,Female,job_request,Designer,job_request
2025-04-18 04:55:56,Germany,Male,job_placement,Manager,job_placement
2025-04-11 18:49:34,France,Female,job_placement,Manager,job_placement
2025-04-16 18:41:29,China,Male,job_request,Designer,job_request
2025-04-01 14:17:29,Brazil,Male,job_request,Engineer,job_request
2025-03-20 10:02:16,South Africa,Male,ai_request,,ai_request
2025-03-01 02:08:58,France,Male,job_request,Sales Rep,job_request
2025-03-23 07:13:07,France,Female,job_request,Manager,job_request
2025-04-05 21:34:27,Botswana,Male,job_placement,Engineer,job_placement
2025-03-06 16:43:01,South Africa,Female,job_placement,Engineer,job_placement
